Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HF,AF,HC,AC,HY,AY,HR,AR,Season
2018-08-18,Chievo Verona,Juventus,2,3,A,7,9,0,8,2,0,0,0,2018
2018-08-18,Lazio,Napoli,1,2,A,8,5,4,7,0,0,0,0,2018
2018-08-19,Bologna,SPAL,0,1,A,16,11,7,0,4,2,1,0,2018
2018-08-19,Empoli,Cagliari,2,0,H,19,19,6,6,3,3,0,0,2018
2018-08-19,Parma,Udinese,2,2,D,10,13,4,5,2,2,0,0,2018
2018-08-19,Sassuolo,Internazionale,1,0,H,23,11,4,4,3,2,0,0,2018
2018-08-19,Torino,AS Roma,0,1,A,10,14,6,5,1,3,0,0,2018
2018-08-20,Atalanta,Frosinone,4,0,H,14,10,4,4,0,2,0,0,2018
2018-08-25,Juventus,Lazio,2,0,H,12,13,6,2,3,2,0,0,2018
2018-08-25,Napoli,AC Milan,3,2,H,12,9,5,1,2,2,0,0,2018
2018-08-26,Cagliari,Sassuolo,2,2,D,14,14,7,2,4,4,0,1,2018
2018-08-26,Fiorentina,Chievo Verona,6,1,H,14,8,2,3,1,3,0,0,2018
2018-08-26,Frosinone,Bologna,0,0,D,15,12,2,5,2,1,0,0,2018
2018-08-26,Genoa,Empoli,2,1,H,14,15,3,6,3,2,0,0,2018
2018-08-26,Internazionale,Torino,2,2,D,16,12,5,4,1,2,0,0,2018
2018-08-26,SPAL,Parma,1,0,H,13,14,7,2,5,2,0,0,2018
2018-08-26,Udinese,Sampdoria,1,0,H,6,10,8,7,1,3,0,0,2018
2018-08-27,AS Roma,Atalanta,3,3,D,9,13,3,11,1,1,0,0,2018
2018-08-31,AC Milan,AS Roma,2,1,H,8,6,8,3,0,2,0,0,2018
2018-01-09,Bologna,Internazionale,0,3,A,7,10,3,7,1,1,0,0,2018
2018-01-09,Parma,Juventus,1,2,A,15,9,4,7,1,3,0,0,2018
2018-02-09,Atalanta,Cagliari,0,1,A,16,20,5,4,2,2,0,0,2018
2018-02-09,Chievo Verona,Empoli,0,0,D,10,11,4,6,1,1,0,0,2018
2018-02-09,Fiorentina,Udinese,1,0,H,10,15,11,4,3,1,0,0,2018
2018-02-09,Lazio,Frosinone,1,0,H,11,8,7,7,1,2,0,0,2018
2018-02-09,Sampdoria,Napoli,3,0,H,13,19,4,5,2,4,0,0,2018
2018-02-09,Sassuolo,Genoa,5,3,H,12,20,2,10,3,3,0,0,2018
2018-02-09,Torino,SPAL,1,0,H,16,16,9,10,1,2,0,0,2018
2018-09-15,Frosinone,Sampdoria,0,5,A,12,15,5,3,3,1,0,0,2018
2018-09-15,Internazionale,Parma,0,1,A,10,8,10,1,2,2,0,0,2018
2018-09-15,Napoli,Fiorentina,1,0,H,13,15,10,3,1,4,0,0,2018
2018-09-16,Cagliari,AC Milan,1,1,D,12,13,3,8,1,1,0,0,2018
2018-09-16,Empoli,Lazio,0,1,A,13,11,4,7,2,3,0,0,2018
2018-09-16,Genoa,Bologna,1,0,H,13,19,5,3,2,5,0,1,2018
2018-09-16,Juventus,Sassuolo,2,1,H,12,13,10,4,3,3,1,0,2018
2018-09-16,AS Roma,Chievo Verona,2,2,D,10,15,9,2,1,1,0,0,2018
2018-09-16,Udinese,Torino,1,1,D,16,14,3,8,2,2,0,0,2018
2018-09-17,SPAL,Atalanta,2,0,H,14,16,4,4,3,5,0,0,2018
2018-09-19,Sampdoria,Fiorentina,1,1,D,14,15,4,6,3,2,0,0,2018
2018-09-21,Sassuolo,Empoli,3,1,H,15,9,5,4,1,4,0,1,2018
2018-09-22,Fiorentina,SPAL,3,0,H,8,11,11,1,1,2,0,0,2018
2018-09-22,Parma,Cagliari,2,0,H,17,5,4,11,2,1,0,0,2018
2018-09-22,Sampdoria,Internazionale,0,1,A,12,14,3,12,3,2,0,0,2018
2018-09-23,Bologna,AS Roma,2,0,H,8,13,1,10,2,4,0,0,2018
2018-09-23,Chievo Verona,Udinese,0,2,A,18,10,7,3,1,1,0,0,2018
2018-09-23,Frosinone,Juventus,0,2,A,16,8,3,5,3,1,0,0,2018
2018-09-23,Lazio,Genoa,4,1,H,9,7,5,3,1,2,0,0,2018
2018-09-23,AC Milan,Atalanta,2,2,D,7,4,4,3,2,1,0,0,2018
2018-09-23,Torino,Napoli,1,3,A,14,17,4,6,2,3,0,0,2018
2018-09-25,Internazionale,Fiorentina,2,1,H,18,20,6,3,1,3,0,0,2018
2018-09-26,Atalanta,Torino,0,0,D,13,15,11,1,2,1,0,0,2018
2018-09-26,Cagliari,Sampdoria,0,0,D,16,22,7,3,1,3,0,0,2018
2018-09-26,Genoa,Chievo Verona,2,0,H,11,17,7,4,4,4,0,0,2018
2018-09-26,Juventus,Bologna,2,0,H,10,13,3,0,2,3,0,0,2018
2018-09-26,Napoli,Parma,3,0,H,9,13,2,2,0,3,0,0,2018
2018-09-26,AS Roma,Frosinone,4,0,H,13,8,4,3,0,1,0,0,2018
2018-09-26,Udinese,Lazio,1,2,A,7,17,6,4,2,6,0,0,2018
2018-09-27,Empoli,AC Milan,1,1,D,12,9,3,10,2,2,0,0,2018
2018-09-27,SPAL,Sassuolo,0,2,A,16,12,6,7,1,0,0,0,2018
2018-09-29,Internazionale,Cagliari,2,0,H,13,11,9,4,1,4,0,0,2018
2018-09-29,Juventus,Napoli,3,1,H,14,11,7,4,3,5,0,1,2018
2018-09-29,AS Roma,Lazio,3,1,H,11,10,8,9,3,1,0,0,2018
2018-09-30,Bologna,Udinese,2,1,H,7,12,3,4,2,4,0,0,2018
2018-09-30,Chievo Verona,Torino,0,1,A,15,17,3,8,3,3,0,0,2018
2018-09-30,Fiorentina,Atalanta,2,0,H,12,10,5,6,3,3,0,0,2018
2018-09-30,Frosinone,Genoa,1,2,A,21,18,5,2,3,2,0,0,2018
2018-09-30,Parma,Empoli,1,0,H,13,8,2,12,2,3,0,0,2018
2018-09-30,Sassuolo,AC Milan,1,4,A,14,11,9,5,1,1,0,0,2018
2018-01-10,Sampdoria,SPAL,2,1,H,13,18,6,5,3,3,0,0,2018
2018-05-10,Torino,Frosinone,3,2,H,16,17,2,4,3,3,0,0,2018
2018-06-10,Cagliari,Bologna,2,0,H,8,16,4,4,2,4,0,0,2018
2018-06-10,Empoli,AS Roma,0,2,A,13,10,4,3,2,1,0,0,2018
2018-06-10,Udinese,Juventus,0,2,A,14,13,4,8,3,1,0,0,2018
2018-07-10,Atalanta,Sampdoria,0,1,A,17,13,9,4,2,4,0,0,2018
2018-07-10,Genoa,Parma,1,3,A,9,9,9,7,1,1,0,0,2018
2018-07-10,Lazio,Fiorentina,1,0,H,18,10,5,6,5,3,0,0,2018
2018-07-10,AC Milan,Chievo Verona,3,1,H,9,12,12,7,1,1,0,0,2018
2018-07-10,Napoli,Sassuolo,2,0,H,11,8,4,4,2,2,0,1,2018
2018-07-10,SPAL,Internazionale,1,2,A,13,20,10,9,6,2,0,0,2018
2018-10-20,Juventus,Genoa,1,1,D,10,15,8,2,1,3,0,0,2018
2018-10-20,AS Roma,SPAL,0,2,A,14,5,8,9,3,5,0,1,2018
2018-10-20,Udinese,Napoli,0,3,A,11,9,3,5,3,4,0,0,2018
2018-10-21,Bologna,Torino,2,2,D,9,21,3,4,2,2,0,0,2018
2018-10-21,Chievo Verona,Atalanta,1,5,A,12,15,1,2,3,1,1,0,2018
2018-10-21,Fiorentina,Cagliari,1,1,D,13,19,6,7,0,2,0,0,2018
2018-10-21,Frosinone,Empoli,3,3,D,13,16,6,8,2,3,0,0,2018
2018-10-21,Internazionale,AC Milan,1,0,H,13,7,9,4,2,5,0,0,2018
2018-10-21,Parma,Lazio,0,2,A,5,11,2,8,2,3,0,0,2018
2018-10-22,Sampdoria,Sassuolo,0,0,D,10,18,4,3,2,3,0,0,2018
2018-10-27,Atalanta,Parma,3,0,H,6,8,6,6,0,2,0,0,2018
2018-10-27,Empoli,Juventus,1,2,A,13,17,6,10,2,3,0,0,2018
2018-10-27,Torino,Fiorentina,1,1,D,13,20,4,5,2,4,0,0,2018
2018-10-28,Cagliari,Chievo Verona,2,1,H,16,15,8,2,1,6,0,0,2018
2018-10-28,Genoa,Udinese,2,2,D,17,18,4,8,5,4,1,0,2018
2018-10-28,AC Milan,Sampdoria,3,2,H,11,9,5,1,3,2,0,0,2018
2018-10-28,Napoli,AS Roma,1,1,D,7,6,17,3,0,5,0,0,2018
2018-10-28,Sassuolo,Bologna,2,2,D,20,19,9,5,2,3,0,0,2018
2018-10-28,SPAL,Frosinone,0,3,A,15,11,9,1,3,6,0,0,2018
2018-10-29,Lazio,Internazionale,0,3,A,14,10,7,6,3,3,0,0,2018
2018-10-31,AC Milan,Genoa,2,1,H,11,17,7,2,2,2,0,0,2018
2018-02-11,Napoli,Empoli,5,1,H,8,7,0,7,0,2,0,0,2018
2018-03-11,Fiorentina,AS Roma,1,1,D,9,20,3,6,3,3,0,0,2018
2018-03-11,Internazionale,Genoa,5,0,H,7,15,11,6,2,3,0,0,2018
2018-03-11,Juventus,Cagliari,3,1,H,10,15,5,4,1,3,0,0,2018
2018-04-11,Bologna,Atalanta,1,2,A,7,12,1,4,1,2,0,0,2018
2018-04-11,Chievo Verona,Sassuolo,0,2,A,20,16,3,2,5,2,1,0,2018
2018-04-11,Lazio,SPAL,4,1,H,7,8,8,4,1,3,0,0,2018
2018-04-11,Parma,Frosinone,0,0,D,14,15,3,7,1,4,1,0,2018
2018-04-11,Sampdoria,Torino,1,4,A,13,25,0,2,2,2,0,0,2018
2018-04-11,Udinese,AC Milan,0,1,A,11,13,4,7,3,3,1,0,2018
2018-09-11,Frosinone,Fiorentina,1,1,D,8,12,4,5,3,0,0,0,2018
2018-10-11,Genoa,Napoli,1,2,A,15,6,2,7,4,2,0,0,2018
2018-10-11,SPAL,Cagliari,2,2,D,13,15,1,6,2,4,0,0,2018
2018-10-11,Torino,Parma,1,2,A,14,17,7,7,2,4,0,0,2018
2018-11-11,Atalanta,Internazionale,4,1,H,11,13,9,6,3,5,0,1,2018
2018-11-11,Chievo Verona,Bologna,2,2,D,15,18,5,6,3,3,0,0,2018
2018-11-11,Empoli,Udinese,2,1,H,6,11,4,13,2,2,0,0,2018
2018-11-11,AC Milan,Juventus,0,2,A,16,9,2,5,3,1,1,0,2018
2018-11-11,AS Roma,Sampdoria,4,1,H,8,10,7,7,1,1,0,0,2018
2018-11-11,Sassuolo,Lazio,1,1,D,15,21,2,6,4,3,0,0,2018
2018-11-24,Internazionale,Frosinone,3,0,H,11,11,11,0,1,3,0,0,2018
2018-11-24,Juventus,SPAL,2,0,H,20,11,6,3,1,3,0,0,2018
2018-11-24,Udinese,AS Roma,1,0,H,6,10,0,12,2,0,0,0,2018
2018-11-25,Bologna,Fiorentina,0,0,D,11,21,4,9,3,1,0,0,2018
2018-11-25,Empoli,Atalanta,3,2,H,12,9,7,3,2,2,0,1,2018
2018-11-25,Genoa,Sampdoria,1,1,D,17,15,7,6,2,1,0,0,2018
2018-11-25,Lazio,AC Milan,1,1,D,10,4,9,4,1,1,0,0,2018
2018-11-25,Napoli,Chievo Verona,0,0,D,11,13,20,2,2,2,0,0,2018
2018-11-25,Parma,Sassuolo,2,1,H,14,14,2,3,3,4,0,0,2018
2018-11-26,Cagliari,Torino,0,0,D,12,13,3,4,2,0,0,0,2018
2018-01-12,Fiorentina,Juventus,0,3,A,14,8,4,9,6,3,0,0,2018
2018-01-12,Sampdoria,Bologna,4,1,H,14,10,1,4,3,3,0,0,2018
2018-01-12,SPAL,Empoli,2,2,D,14,14,4,9,3,3,1,0,2018
2018-02-12,Chievo Verona,Lazio,1,1,D,11,11,4,6,4,2,0,0,2018
2018-02-12,Frosinone,Cagliari,1,1,D,13,15,5,1,1,7,0,1,2018
2018-02-12,AC Milan,Parma,2,1,H,9,15,8,8,2,2,0,0,2018
2018-02-12,AS Roma,Internazionale,2,2,D,11,13,4,7,1,1,0,0,2018
2018-02-12,Sassuolo,Udinese,0,0,D,13,16,13,2,3,2,0,0,2018
2018-02-12,Torino,Genoa,2,1,H,14,20,5,5,3,4,0,1,2018
2018-03-12,Atalanta,Napoli,1,2,A,8,7,12,6,1,2,0,0,2018
2018-07-12,Juventus,Internazionale,1,0,H,13,16,10,8,2,2,0,0,2018
2018-08-12,Cagliari,AS Roma,2,2,D,17,12,7,5,3,1,2,0,2018
2018-08-12,Lazio,Sampdoria,2,2,D,13,11,10,6,3,6,0,1,2018
2018-08-12,Napoli,Frosinone,4,0,H,6,10,9,3,1,2,0,0,2018
2018-09-12,Empoli,Bologna,2,1,H,6,8,4,8,2,2,0,0,2018
2018-09-12,Genoa,SPAL,1,1,D,9,10,1,6,1,5,1,0,2018
2018-09-12,AC Milan,Torino,0,0,D,10,16,11,3,2,3,0,0,2018
2018-09-12,Parma,Chievo Verona,1,1,D,17,18,8,2,4,4,0,1,2018
2018-09-12,Sassuolo,Fiorentina,3,3,D,12,12,6,10,4,5,1,1,2018
2018-09-12,Udinese,Atalanta,1,3,A,17,6,2,7,1,1,0,0,2018
2018-12-15,Internazionale,Udinese,1,0,H,11,8,10,0,3,1,0,0,2018
2018-12-15,Torino,Juventus,0,1,A,17,13,7,5,2,4,0,0,2018
2018-12-16,Cagliari,Napoli,0,1,A,15,9,2,10,2,2,0,0,2018
2018-12-16,Fiorentina,Empoli,3,1,H,20,18,2,3,2,1,0,0,2018
2018-12-16,Frosinone,Sassuolo,0,2,A,18,10,6,5,3,2,0,0,2018
2018-12-16,AS Roma,Genoa,3,2,H,10,15,6,4,2,2,0,0,2018
2018-12-16,Sampdoria,Parma,2,0,H,10,7,8,4,2,1,0,0,2018
2018-12-16,SPAL,Chievo Verona,0,0,D,14,18,6,4,2,4,0,0,2018
2018-12-17,Atalanta,Lazio,1,0,H,10,17,7,7,2,4,0,0,2018
2018-12-18,Bologna,AC Milan,0,0,D,12,12,2,1,2,5,0,1,2018
2018-12-22,Chievo Verona,Internazionale,1,1,D,10,10,5,7,3,2,0,0,2018
2018-12-22,Empoli,Sampdoria,2,4,A,14,9,8,5,3,4,0,0,2018
2018-12-22,Genoa,Atalanta,3,1,H,13,13,9,6,3,2,0,2,2018
2018-12-22,Juventus,AS Roma,1,0,H,9,12,13,2,0,3,0,0,2018
2018-12-22,Lazio,Cagliari,3,1,H,16,9,7,5,2,1,0,0,2018
2018-12-22,AC Milan,Fiorentina,0,1,A,10,18,9,7,3,4,0,0,2018
2018-12-22,Napoli,SPAL,1,0,H,13,8,3,5,2,2,0,0,2018
2018-12-22,Parma,Bologna,0,0,D,8,9,4,2,3,3,0,0,2018
2018-12-22,Sassuolo,Torino,1,1,D,12,15,12,2,2,3,0,0,2018
2018-12-22,Udinese,Frosinone,1,1,D,11,16,2,5,2,4,0,0,2018
2018-12-26,Atalanta,Juventus,2,2,D,17,16,5,5,4,4,0,1,2018
2018-12-26,Bologna,Lazio,0,2,A,15,18,1,7,2,0,0,0,2018
2018-12-26,Cagliari,Genoa,1,0,H,8,9,4,4,3,3,0,0,2018
2018-12-26,Fiorentina,Parma,0,1,A,15,15,9,2,4,4,1,0,2018
2018-12-26,Frosinone,AC Milan,0,0,D,10,12,3,6,2,1,0,0,2018
2018-12-26,Internazionale,Napoli,1,0,H,12,8,5,0,3,4,0,2,2018
2018-12-26,AS Roma,Sassuolo,3,1,H,15,16,8,5,1,1,0,0,2018
2018-12-26,Sampdoria,Chievo Verona,2,0,H,22,19,4,1,2,1,0,0,2018
2018-12-26,SPAL,Udinese,0,0,D,10,14,7,2,1,2,0,0,2018
2018-12-26,Torino,Empoli,3,0,H,9,9,5,1,1,3,0,1,2018
2018-12-29,Chievo Verona,Frosinone,1,0,H,16,20,4,2,4,6,0,1,2018
2018-12-29,Empoli,Internazionale,0,1,A,14,4,4,6,1,1,0,0,2018
2018-12-29,Genoa,Fiorentina,0,0,D,21,8,7,3,2,1,0,0,2018
2018-12-29,Juventus,Sampdoria,2,1,H,13,16,6,3,2,2,0,0,2018
2018-12-29,Lazio,Torino,1,1,D,20,22,7,3,4,4,1,1,2018
2018-12-29,AC Milan,SPAL,2,1,H,15,10,11,2,4,2,1,0,2018
2018-12-29,Napoli,Bologna,3,2,H,14,10,6,5,2,2,0,0,2018
2018-12-29,Parma,AS Roma,0,2,A,7,11,2,7,1,1,0,0,2018
2018-12-29,Sassuolo,Atalanta,2,6,A,10,10,1,8,1,2,0,0,2018
2018-12-29,Udinese,Cagliari,2,0,H,11,15,6,6,3,2,1,1,2018
2019-01-19,Internazionale,Sassuolo,0,0,D,16,16,11,0,1,3,0,0,2018
2019-01-19,AS Roma,Torino,3,2,H,17,17,6,3,2,3,0,0,2018
2019-01-19,Udinese,Parma,1,2,A,17,15,8,2,3,1,0,0,2018
2019-01-20,Cagliari,Empoli,2,2,D,11,10,4,7,0,0,0,0,2018
2019-01-20,Fiorentina,Sampdoria,3,3,D,15,22,4,7,6,4,1,0,2018
2019-01-20,Frosinone,Atalanta,0,5,A,12,11,4,8,2,0,0,0,2018
2019-01-20,Napoli,Lazio,2,1,H,6,12,7,8,1,5,0,1,2018
2019-01-20,SPAL,Bologna,1,1,D,13,18,7,7,2,3,0,0,2018
2019-01-21,Genoa,AC Milan,0,2,A,14,17,5,6,3,3,0,0,2018
2019-01-21,Juventus,Chievo Verona,3,0,H,10,7,12,5,1,2,0,0,2018
2019-01-26,AC Milan,Napoli,0,0,D,7,11,6,8,1,3,0,1,2018
2019-01-26,Sampdoria,Udinese,4,0,H,14,13,1,1,2,4,0,0,2018
2019-01-26,Sassuolo,Cagliari,3,0,H,14,17,4,12,1,1,0,0,2018
2019-01-27,Atalanta,AS Roma,3,3,D,7,13,9,2,0,3,0,0,2018
2019-01-27,Bologna,Frosinone,0,4,A,15,13,9,2,3,4,1,0,2018
2019-01-27,Chievo Verona,Fiorentina,3,4,A,19,18,7,5,3,1,0,1,2018
2019-01-27,Lazio,Juventus,1,2,A,11,13,8,1,2,5,0,0,2018
2019-01-27,Parma,SPAL,2,3,A,9,13,1,10,2,4,0,0,2018
2019-01-27,Torino,Internazionale,1,0,H,19,12,6,7,3,3,0,1,2018
2019-01-28,Empoli,Genoa,1,3,A,8,7,1,3,1,2,0,0,2018
2019-02-02,Empoli,Chievo Verona,2,2,D,9,12,10,6,0,2,0,0,2018
2019-02-02,Juventus,Parma,3,3,D,6,11,12,4,1,2,0,0,2018
2019-02-02,Napoli,Sampdoria,3,0,H,4,12,5,3,0,3,0,0,2018
2019-03-02,Genoa,Sassuolo,1,1,D,11,15,4,6,1,3,0,0,2018
2019-03-02,Internazionale,Bologna,0,1,A,13,17,6,7,1,2,0,0,2018
2019-03-02,AS Roma,AC Milan,1,1,D,15,9,10,2,3,4,0,0,2018
2019-03-02,SPAL,Torino,0,0,D,24,27,11,6,5,5,0,1,2018
2019-03-02,Udinese,Fiorentina,1,1,D,13,14,1,10,3,3,0,0,2018
2019-04-02,Cagliari,Atalanta,0,1,A,18,11,2,4,0,2,0,0,2018
2019-04-02,Frosinone,Lazio,0,1,A,8,14,2,2,1,5,0,0,2018
2019-07-02,Lazio,Empoli,1,0,H,13,8,3,2,1,1,0,0,2018
2019-08-02,Chievo Verona,AS Roma,0,3,A,6,9,7,7,1,2,0,0,2018
2019-09-02,Fiorentina,Napoli,0,0,D,9,17,5,5,2,4,0,0,2018
2019-09-02,Parma,Internazionale,0,1,A,17,12,2,10,2,2,0,0,2018
2019-10-02,Atalanta,SPAL,2,1,H,14,12,9,4,1,3,0,0,2018
2019-10-02,Bologna,Genoa,1,1,D,17,13,13,3,2,2,0,0,2018
2019-10-02,AC Milan,Cagliari,3,0,H,12,11,2,5,0,1,0,0,2018
2019-10-02,Sampdoria,Frosinone,0,1,A,10,21,9,2,3,3,0,0,2018
2019-10-02,Sassuolo,Juventus,0,3,A,17,8,8,4,0,0,0,0,2018
2019-10-02,Torino,Udinese,1,0,H,21,21,9,2,2,4,0,1,2018
2019-02-15,Juventus,Frosinone,3,0,H,13,19,5,7,2,3,0,0,2018
2019-02-16,Atalanta,AC Milan,1,3,A,10,9,5,2,1,2,0,0,2018
2019-02-16,Cagliari,Parma,2,1,H,21,11,1,4,5,1,1,0,2018
2019-02-17,Empoli,Sassuolo,3,0,H,11,10,3,3,1,3,0,0,2018
2019-02-17,Genoa,Lazio,2,1,H,12,12,7,3,3,2,0,0,2018
2019-02-17,Internazionale,Sampdoria,2,1,H,10,11,9,5,3,1,0,0,2018
2019-02-17,Napoli,Torino,0,0,D,18,13,15,4,5,3,0,0,2018
2019-02-17,SPAL,Fiorentina,1,4,A,14,14,3,10,3,4,0,0,2018
2019-02-17,Udinese,Chievo Verona,1,0,H,11,21,6,4,5,4,0,0,2018
2019-02-18,AS Roma,Bologna,2,1,H,15,15,9,7,3,4,0,0,2018
2019-02-22,AC Milan,Empoli,3,0,H,13,9,6,2,1,1,0,0,2018
2019-02-23,Frosinone,AS Roma,2,3,A,18,11,4,8,2,2,0,0,2018
2019-02-23,Torino,Atalanta,2,0,H,17,18,4,4,2,1,0,0,2018
2019-02-24,Bologna,Juventus,0,1,A,12,17,4,5,2,2,0,0,2018
2019-02-24,Chievo Verona,Genoa,0,0,D,20,22,4,6,2,3,0,0,2018
2019-02-24,Fiorentina,Internazionale,3,3,D,13,15,9,6,2,4,0,0,2018
2019-02-24,Parma,Napoli,0,4,A,13,7,5,2,2,1,0,0,2018
2019-02-24,Sampdoria,Cagliari,1,0,H,9,17,3,5,1,2,0,0,2018
2019-02-24,Sassuolo,SPAL,1,1,D,18,14,3,5,4,1,1,0,2018
2019-01-03,Cagliari,Internazionale,2,1,H,12,8,1,5,5,3,0,0,2018
2019-02-03,Empoli,Parma,3,3,D,10,17,8,2,1,3,0,0,2018
2019-02-03,Lazio,AS Roma,3,0,H,13,15,5,7,4,5,0,1,2018
2019-02-03,AC Milan,Sassuolo,1,0,H,20,9,6,6,3,0,0,1,2018
2019-03-03,Atalanta,Fiorentina,3,1,H,9,16,8,5,4,2,0,0,2018
2019-03-03,Genoa,Frosinone,0,0,D,15,16,8,2,2,4,0,1,2018
2019-03-03,Napoli,Juventus,1,2,A,10,14,12,4,3,6,1,1,2018
2019-03-03,SPAL,Sampdoria,1,2,A,10,14,5,4,2,3,1,0,2018
2019-03-03,Torino,Chievo Verona,3,0,H,10,18,7,4,1,4,0,0,2018
2019-03-03,Udinese,Bologna,2,1,H,21,20,6,6,3,3,0,0,2018
2019-08-03,Juventus,Udinese,4,1,H,7,9,5,0,0,3,0,0,2018
2019-09-03,Chievo Verona,AC Milan,1,2,A,20,13,4,1,3,1,0,0,2018
2019-09-03,Parma,Genoa,1,0,H,12,12,4,5,2,1,0,0,2018
2019-10-03,Bologna,Cagliari,2,0,H,16,21,8,3,0,0,0,0,2018
2019-10-03,Fiorentina,Lazio,1,1,D,8,14,4,7,3,1,0,0,2018
2019-10-03,Frosinone,Torino,1,2,A,14,21,3,3,2,4,0,0,2018
2019-10-03,Internazionale,SPAL,2,0,H,17,17,4,7,3,5,0,0,2018
2019-10-03,Sampdoria,Atalanta,1,2,A,13,10,4,7,2,2,0,0,2018
2019-10-03,Sassuolo,Napoli,1,1,D,11,10,3,5,3,2,0,0,2018
2019-11-03,AS Roma,Empoli,2,1,H,12,9,5,3,4,1,1,0,2018
2019-03-15,Cagliari,Fiorentina,2,1,H,22,13,4,4,3,2,0,0,2018
2019-03-16,Sassuolo,Sampdoria,3,5,A,9,12,6,5,1,1,0,0,2018
2019-03-16,SPAL,AS Roma,2,1,H,12,19,3,5,4,5,0,0,2018
2019-03-16,Torino,Bologna,2,3,A,15,16,4,5,5,4,1,1,2018
2019-03-17,Atalanta,Chievo Verona,1,1,D,12,24,10,1,0,0,0,0,2018
2019-03-17,Empoli,Frosinone,2,1,H,16,15,2,2,4,2,0,0,2018
2019-03-17,Genoa,Juventus,2,0,H,12,11,6,6,2,3,0,0,2018
2019-03-17,Lazio,Parma,4,1,H,10,10,6,5,0,2,0,0,2018
2019-03-17,AC Milan,Internazionale,2,3,A,19,11,7,4,4,3,0,0,2018
2019-03-17,Napoli,Udinese,4,2,H,4,7,5,2,1,1,0,0,2018
2019-03-29,Chievo Verona,Cagliari,0,3,A,13,15,5,5,6,3,1,0,2018
2019-03-30,Juventus,Empoli,1,0,H,16,11,5,4,0,0,0,0,2018
2019-03-30,Sampdoria,AC Milan,1,0,H,12,9,5,10,1,4,0,0,2018
2019-03-30,Udinese,Genoa,2,0,H,10,18,3,5,3,4,0,0,2018
2019-03-31,Bologna,Sassuolo,2,1,H,17,18,9,4,2,3,0,0,2018
